date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:37	53110/53110	---M-Z	200	added ('OK')	text/html	etag:%2219303b1-cf76-557045b1543b7%22	http://haintheme.com/demo/html/bustter/moviesingle.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/moviesingle.html	(from )
20:26:37	31/31	---M--	200	added ('OK')	text/plain	etag:%221520017-1f-529d0fd1bfaf3%22	http://haintheme.com/robots.txt		(from )
20:26:38	1430/1430	---MC-	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202017%2014:56:37%20GMT	http://fonts.googleapis.com/css?family=Dosis:400,700,500|Nunito:300,400,600	/home/gaurav/websites/templates/movies/fonts.googleapis.com/css470f.css	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:39	177171/177171	---M-Z	200	added ('OK')	text/css	etag:%221b2b337-2b413-557045bf1563a%22	http://haintheme.com/demo/html/bustter/css/style.css	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/css/style.css	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:40	64435/64435	---M-Z	200	added ('OK')	text/html	etag:%2219303b6-fbb3-557045a92a701%22	http://haintheme.com/demo/html/bustter/index.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/index.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:40	1624/1624	---M--	200	added ('OK')	image/png	etag:%221b2b1e1-658-557045d8ff058%22	http://haintheme.com/demo/html/bustter/images/logo1.png	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/images/logo1.png	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:41	53899/53899	---M-Z	200	added ('OK')	text/html	etag:%2219303b8-d28b-557045a4c95ee%22	http://haintheme.com/demo/html/bustter/homev2.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/homev2.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:41	63234/63234	---M-Z	200	added ('OK')	text/html	etag:%2219303b7-f702-557045a6ef299%22	http://haintheme.com/demo/html/bustter/homev3.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/homev3.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:41	25971/25971	---M-Z	200	added ('OK')	text/html	etag:%2219303b5-6573-557045abeb415%22	http://haintheme.com/demo/html/bustter/moviegrid.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/moviegrid.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:42	24125/24125	---M-Z	200	added ('OK')	text/html	etag:%2219303b3-5e3d-557045ad94c84%22	http://haintheme.com/demo/html/bustter/moviegridfw.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/moviegridfw.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:42	19829/19829	---M-Z	200	added ('OK')	text/html	etag:%2219303b2-4d75-557045af39abb%22	http://haintheme.com/demo/html/bustter/movielist.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/movielist.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:43	56608/56608	---M-Z	200	added ('OK')	text/html	etag:%2219303b0-dd20-557045b38aa00%22	http://haintheme.com/demo/html/bustter/seriessingle.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/seriessingle.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:44	18065/18065	---M-Z	200	added ('OK')	text/html	etag:%2219303bd-4691-5570459b45262%22	http://haintheme.com/demo/html/bustter/celebritygrid01.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/celebritygrid01.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:44	756537/756537	---MCZ	200	added ('OK')	text/css	etag:%221b2b335-b8b39-557045c0510e4%22	http://haintheme.com/demo/html/bustter/css/plugins.css	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/css/plugins.css	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:45	26358/26358	---M-Z	200	added ('OK')	text/html	etag:%2219303bc-66f6-5570459e66e34%22	http://haintheme.com/demo/html/bustter/celebritygrid02.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/celebritygrid02.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
20:26:45	19660/19660	---M-Z	200	added ('OK')	text/html	etag:%2219303bb-4ccc-557045a01f8d1%22	http://haintheme.com/demo/html/bustter/celebritylist.html	/home/gaurav/websites/templates/movies/haintheme.com/demo/html/bustter/celebritylist.html	(from http://haintheme.com/demo/html/bustter/moviesingle.html)
